"title","price","sold_at_date"
"Verkocht: Salawatihof 16 3531 WT Utrecht [funda]","450000","28 juni 2020"
"Verkocht: Bloemstraat 83 3581 WD Utrecht [funda]","289000","12 juni 2020"
"Verkocht: Adenauerlaan 125 3527 RC Utrecht [funda]","175000","15 april 2020"
"Verkocht: Seringstraat 138 3551 TP Utrecht [funda]","319500","25 mei 2020"
"Verkocht: Jacob Simonsz. de Rijkstraat 48 3554 CL Utrecht [funda]","300000","23 juni 2020"
"Verkocht: Beverstraat 24 3513 AR Utrecht [funda]","595000","26 juni 2020"
"Verkocht: Pablo (Bouwnr. 44) 3544 NW Utrecht [funda]","623000","22 juni 2020"
"Verkocht: Pablo (Bouwnr. 46) 3544 NW Utrecht [funda]","356000","22 juni 2020"
"Verkocht: Kees van Bohemenhof 30 3544 MC Utrecht [funda]","539000","21 april 2020"
"Verkocht: Pablo (Bouwnr. 43) 3544 NW Utrecht [funda]","581000","17 juni 2020"
"Verkocht: Satijnvlinderhof (Bouwnr. 4) 3544 NC Utrecht [funda]","1285000","24 juni 2020"
"Verkocht: Catharijnesingel 74 3511 GM Utrecht [funda]","895000","29 april 2020"
"Verkocht: Concordiastraat 35 3551 EL Utrecht [funda]","359000","29 april 2020"
"Verkocht: Croesestraat 73 3522 AC Utrecht [funda]","265000","22 april 2020"
"Verkocht: Bouwnummer (Bouwnr. 1) 3544 NC Utrecht [funda]","1562000","30 juni 2020"
"Verkocht: Esdoornstraat 52 3551 AK Utrecht [funda]","439000","21 juni 2020"
"Verkocht: 1e Atjehstraat 3 3531 SK Utrecht [funda]","350000","20 mei 2020"
"Verkocht: Wevelaan 37 3571 XS Utrecht [funda]","500000","20 mei 2020"
"Verkocht: Pablo (Bouwnr. 6) 3544 NW Utrecht [funda]","309000","11 juni 2020"
"Verkocht: Balderikstraat 45 3553 BB Utrecht [funda]","284500","12 maart 2020"
"Verkocht: Seringstraat 41 3551 TJ Utrecht [funda]","275000","29 juni 2020"
"Verkocht: Barnsteenlaan 25 1 3523 BB Utrecht [funda]","265000","25 maart 2020"
"Verkocht: Oosterstraat 19 B 3581 MK Utrecht [funda]","245000","13 mei 2020"
"Verkocht: Lijsterstraat 84 3514 TE Utrecht [funda]","425000","29 juni 2020"
"Verkocht: Bouwstraat 21 3572 SN Utrecht [funda]","375000",""
"Verkocht: Vaduzdijk 31 3541 DM Utrecht [funda]","425000","11 mei 2020"
"Verkocht: Rhodosdreef 72 3562 TG Utrecht [funda]","165000","11 juni 2020"
"Verkocht: Molengraaffplantsoen 36 3571 ZW Utrecht [funda]","299000","28 juni 2020"
"Verkocht: Werner Helmichstraat 81 3553 JV Utrecht [funda]","300000","13 mei 2020"
"Verkocht: Johanniterhof 9 3544 NG Utrecht [funda]","689500","13 mei 2020"
